name	run	timing
benchmark/imdb/13d.benchmark	4	0.519510
benchmark/imdb/13d.benchmark	5	0.530929
benchmark/imdb/14a.benchmark	1	0.336086
benchmark/imdb/14a.benchmark	2	0.344795
benchmark/imdb/14a.benchmark	3	0.337081
benchmark/imdb/14a.benchmark	4	0.357264
benchmark/imdb/14a.benchmark	5	0.343126
benchmark/imdb/14b.benchmark	1	0.323102
benchmark/imdb/14b.benchmark	2	0.327204
benchmark/imdb/14b.benchmark	3	0.323418
benchmark/imdb/14b.benchmark	4	0.329824
benchmark/imdb/14b.benchmark	5	0.329175
benchmark/imdb/14c.benchmark	1	0.389760
benchmark/imdb/14c.benchmark	2	0.393523
benchmark/imdb/14c.benchmark	3	0.398608
benchmark/imdb/14c.benchmark	4	0.391263
benchmark/imdb/14c.benchmark	5	0.402705
benchmark/imdb/15a.benchmark	1	0.362353
benchmark/imdb/15a.benchmark	2	0.364136
benchmark/imdb/15a.benchmark	3	0.358490
benchmark/imdb/15a.benchmark	4	0.358004
benchmark/imdb/15a.benchmark	5	0.366784
benchmark/imdb/15b.benchmark	1	0.342114
benchmark/imdb/15b.benchmark	2	0.341740
benchmark/imdb/15b.benchmark	3	0.337315
benchmark/imdb/15b.benchmark	4	0.341542
benchmark/imdb/15b.benchmark	5	0.336816
benchmark/imdb/15c.benchmark	1	0.524522
benchmark/imdb/15c.benchmark	2	0.527595
benchmark/imdb/15c.benchmark	3	0.520692
benchmark/imdb/15c.benchmark	4	0.518150
benchmark/imdb/15c.benchmark	5	0.521807
benchmark/imdb/15d.benchmark	1	0.494053
benchmark/imdb/15d.benchmark	2	0.498266
benchmark/imdb/15d.benchmark	3	0.491076
benchmark/imdb/15d.benchmark	4	0.486026
benchmark/imdb/15d.benchmark	5	0.487714
benchmark/imdb/16a.benchmark	1	0.252286
benchmark/imdb/16a.benchmark	2	0.249879
benchmark/imdb/16a.benchmark	3	0.272956
benchmark/imdb/16a.benchmark	4	0.254660
benchmark/imdb/16a.benchmark	5	0.253896
benchmark/imdb/16b.benchmark	1	1.434847
benchmark/imdb/16b.benchmark	2	1.436300
benchmark/imdb/16b.benchmark	3	1.405107
benchmark/imdb/16b.benchmark	4	1.388741
benchmark/imdb/16b.benchmark	5	1.505886
benchmark/imdb/16c.benchmark	1	0.573793
benchmark/imdb/16c.benchmark	2	0.566106
benchmark/imdb/16c.benchmark	3	0.569375
benchmark/imdb/16c.benchmark	4	0.571122
benchmark/imdb/16c.benchmark	5	0.577591
benchmark/imdb/16d.benchmark	1	0.604512
benchmark/imdb/16d.benchmark	2	0.618578
benchmark/imdb/16d.benchmark	3	0.615488
benchmark/imdb/16d.benchmark	4	0.598355
benchmark/imdb/16d.benchmark	5	0.603993
benchmark/imdb/17a.benchmark	1	0.484080
benchmark/imdb/17a.benchmark	2	0.500706
benchmark/imdb/17a.benchmark	3	0.516988
benchmark/imdb/17a.benchmark	4	0.504751
benchmark/imdb/17a.benchmark	5	0.503450
benchmark/imdb/17b.benchmark	1	0.765078
benchmark/imdb/17b.benchmark	2	0.760849
benchmark/imdb/17b.benchmark	3	0.757587
benchmark/imdb/17b.benchmark	4	0.762763
benchmark/imdb/17b.benchmark	5	0.832352
benchmark/imdb/17c.benchmark	1	0.767551
benchmark/imdb/17c.benchmark	2	0.762863
benchmark/imdb/17c.benchmark	3	0.770501
benchmark/imdb/17c.benchmark	4	0.763669
benchmark/imdb/17c.benchmark	5	0.774482
benchmark/imdb/17d.benchmark	1	0.805132
benchmark/imdb/17d.benchmark	2	0.782447
benchmark/imdb/17d.benchmark	3	0.786219
benchmark/imdb/17d.benchmark	4	0.781432
benchmark/imdb/17d.benchmark	5	0.852947
benchmark/imdb/17e.benchmark	1	0.677601
benchmark/imdb/17e.benchmark	2	0.677811
benchmark/imdb/17e.benchmark	3	0.680007
benchmark/imdb/17e.benchmark	4	0.676270
benchmark/imdb/17e.benchmark	5	0.675878
benchmark/imdb/17f.benchmark	1	0.890692
benchmark/imdb/17f.benchmark	2	0.902672
benchmark/imdb/17f.benchmark	3	0.891418
benchmark/imdb/17f.benchmark	4	0.905846
benchmark/imdb/17f.benchmark	5	0.912999
benchmark/imdb/18a.benchmark	1	1.908660
benchmark/imdb/18a.benchmark	2	1.897636
benchmark/imdb/18a.benchmark	3	1.902520
benchmark/imdb/18a.benchmark	4	1.895718
benchmark/imdb/18a.benchmark	5	1.923489
benchmark/imdb/18b.benchmark	1	0.569698
benchmark/imdb/18b.benchmark	2	0.577262
benchmark/imdb/18b.benchmark	3	0.580509
benchmark/imdb/18b.benchmark	4	0.583359
benchmark/imdb/18b.benchmark	5	0.592344
benchmark/imdb/18c.benchmark	1	0.716506
benchmark/imdb/18c.benchmark	2	0.703954
benchmark/imdb/18c.benchmark	3	0.712464
benchmark/imdb/18c.benchmark	4	0.719222
benchmark/imdb/18c.benchmark	5	0.722577
